Title,Price,Price Per,Image URL
Tesco Lemon And Lime Water Still 1L,€0.65,€0.65/litre,https://digitalcontent.api.tesco.com/v2/media/ghs/8cf4c1bd-e4bc-4ec6-8295-32a675c9eb25/aa6bd2ae-63a2-4170-ba50-a033d64f2297_2045424005.jpeg?h=225&w=225
Evian Natural Bottled Mineral Still Water Multipack 6x500ml,€4.00,€1.33/litre,https://digitalcontent.api.tesco.com/v2/media/ghs/73059d61-a84c-4792-812d-58638f2e0636/ab20f78c-a83a-4243-b37c-73d0ac4fd2eb_416847230.jpeg?h=225&w=225
Tesco Slimn Still Spring Water 10X250ml Kids,€3.99,€15.96/litre,https://digitalcontent.api.tesco.com/v2/media/ghs/cc47db19-9a95-474f-a94e-9c167d851344/cef564cd-9bb4-4eda-a213-1986f11c3b10_1263559529.jpeg?h=225&w=225
Volvic Natural Bottled Mineral Still Water 1.5L,€1.45,€0.97/litre,https://digitalcontent.api.tesco.com/v2/media/ghs/79787c8c-6c3b-4478-8f8a-5bdb0f5dd869/4ee32293-080e-4281-8014-819cc81a5c0d_513413571.jpeg?h=225&w=225
Tipperary Kidz Fruit Blast 10 Pack,€4.00,€1.60/litre,https://digitalcontent.api.tesco.com/v2/media/ghs/3b0d283e-42de-4ebd-a18f-02536e9f3ea7/f41e6471-322a-4175-bc55-1b51403d7441_1387090904.jpeg?h=225&w=225
Tipperary Kidz Tiger Juice 10 X 250Ml,€4.15,€1.66/litre,https://digitalcontent.api.tesco.com/v2/media/ghs/7ad9f822-6e8b-4c56-b785-aff18ce5fe00/2d55e211-07d1-4380-961c-e7d94342cf21_494159388.jpeg?h=225&w=225
Tesco Apple & Raspberry No Added Sugar Sparkling Water 4X500ml,€2.30,€1.15/litre,https://digitalcontent.api.tesco.com/v2/media/ghs/3682236f-b1f1-4245-874d-cd3dbd936f11/61855309-963a-4938-8ad8-1cb3f33bedf4_377945679.jpeg?h=225&w=225
Volvic Touch of Fruit Lemon Lime Sugar Free Flavoured Water 1.5L,€2.00,€1.33/litre,https://digitalcontent.api.tesco.com/v2/media/ghs/df4b5e3a-a21d-4285-9b41-8a027916afe4/93eb9d51-6b38-490f-a7a4-586a36f44f59_273540547.jpeg?h=225&w=225
Ballygowan Water 6X500ml,€4.00,€1.33/litre,https://digitalcontent.api.tesco.com/v2/media/ghs/af767303-eee1-4a98-9b0b-7b48589f1ed6/7423dd9a-cc27-4a15-858a-4fb347c433a7_929102049.jpeg?h=225&w=225
Volvic Touch of Fruit Summer Fruits No Sugar Flavoured Water 1.5L,€2.00,€1.33/litre,https://digitalcontent.api.tesco.com/v2/media/ghs/30a83121-b12c-49bd-bad3-6708736aeef9/39c4ad09-9bd0-4309-8d51-e49bc808af23_1846849069.jpeg?h=225&w=225
Volvic Touch of Fruit Watermelon Sugar Free Flavoured Water 1.5L,€2.00,€1.33/litre,https://digitalcontent.api.tesco.com/v2/media/ghs/f962596f-80df-48e0-b232-e5b6cdcd5482/ed4374c6-ce51-41f4-86d7-a57dd6d89903_1761321546.jpeg?h=225&w=225
Volvic Touch of Fruit Mango & Passionfruit Flavoured Water 1.5L,€2.00,€1.33/litre,https://digitalcontent.api.tesco.com/v2/media/ghs/1bf16d1e-df81-4119-bbf5-afc36f3a7eaf/1341ccae-9bbf-45b0-a941-4d27f65273b2_2010468250.jpeg?h=225&w=225
Volvic Touch of Fruit Strawberry Sugar Free Flavoured Water 1.5L,€2.00,€1.33/litre,https://digitalcontent.api.tesco.com/v2/media/ghs/de2f734e-c1a6-49a7-ba8d-497c3cab180c/3f1e1269-3dcc-475b-986c-02006e9b501f_1399351635.jpeg?h=225&w=225
San Pellegrino 4X50cl,€4.95,€2.48/litre,https://digitalcontent.api.tesco.com/v2/media/ghs/355d1adb-23dc-4e85-826a-d306fbc2beb3/951ae614-fb4d-4119-b34e-3e4042f293c0_2014183907.jpeg?h=225&w=225
Volvic Natural Bottled Mineral Still Water Multipack 6x500ml,€4.80,€1.60/litre,https://digitalcontent.api.tesco.com/v2/media/ghs/cdb88e87-2ec8-4796-b59f-013b40019c05/b32309ee-26bb-4b64-bf0c-26612b186ea0_149657793.jpeg?h=225&w=225
