Title,Price,Price Per,Image URL
Tesco Finest Sea Salt & Black Pepper Hand Cooked Crisps 125g,€2.25,€18.00/kg,https://digitalcontent.api.tesco.com/v2/media/ghs/661d957b-4a10-49b3-a285-ac2a6fc20e41/bfbe09c6-ed5e-4711-97f2-9545ee54eca2_637465408.jpeg?h=225&w=225
Tesco Finest Pink Himalayan Salt Mill 95G,€1.40,€14.74/kg,https://digitalcontent.api.tesco.com/v2/media/ghs/bc485db7-2c73-4a09-a8ee-9fe54ece17ec/96c328f4-e1b0-4279-a7c6-27819582760c_624926923.jpeg?h=225&w=225
Tesco Finest Jalapeno Relish 200G,€1.69,€8.45/kg,https://digitalcontent.api.tesco.com/v2/media/ghs/e7e773af-071c-4a23-b8b2-3826d2b8caf7/8da6e7a9-201f-40a2-ab51-40796e72a403_1613806401.jpeg?h=225&w=225
Tesco Finest Carbonara Pasta Sauce 340G,€2.20,€6.47/kg,https://digitalcontent.api.tesco.com/v2/media/ghs/a5fed1f0-0060-4833-9e99-59add757c149/13005b02-86dd-40c8-8af0-9faa87e4598a_2091336231.jpeg?h=225&w=225
Tesco Finest Apricot Conserve 320G,€2.29,€7.16/kg,https://digitalcontent.api.tesco.com/v2/media/ghs/9fb5da2e-75d1-4758-ba94-b0b6212342c6/b87bad3d-a459-45e5-a7e6-af38e21f6e7a_226472182.jpeg?h=225&w=225
Tesco Finest Lime And Chilli Chutney 225G,€1.69,€7.51/kg,https://digitalcontent.api.tesco.com/v2/media/ghs/60024e26-c84f-44cc-9653-129ce9535f08/1f2fbf8c-73df-41b4-818d-42c8b3b98ef0_785585699.jpeg?h=225&w=225
Tesco Finest Balsamic Vinegar Of Modena 250Ml,€3.32,€13.28/litre,https://digitalcontent.api.tesco.com/v2/media/ghs/49a73400-2244-4e22-a785-a7ebcadf0252/4bf823a6-7564-4755-a322-fc181e533379_679673659.jpeg?h=225&w=225
Tesco Finest Belgian Dark Chocolate Bar 90G,€2.00,€22.22/kg,https://digitalcontent.api.tesco.com/v2/media/ghs/b52903fb-66b8-402a-928c-f3ac5cee59e3/93124316-e9f8-4b73-bc75-6f1717b711a4_1034437116.jpeg?h=225&w=225
Tesco Finest Dark Chocolate Ginger Cookies 200G,€2.20,€11.00/kg,https://digitalcontent.api.tesco.com/v2/media/ghs/9a407aa5-8172-4cc0-adfc-c241f5403e4c/c5a30ca1-0acf-4f24-b36a-83d38381251e_1214346726.jpeg?h=225&w=225
Tesco Finest Crinkle Cut Bbq Beef Crisps 125G,€2.25,€18.00/kg,https://digitalcontent.api.tesco.com/v2/media/ghs/694c861c-3cce-4ff3-a201-416b1412395d/f2cecc6e-71e5-4a99-8eee-3bc098e53dee_1986362766.jpeg?h=225&w=225
Tesco Finest Tomato & Chilli Pasta Sauce 340G,€2.20,€6.47/kg,https://digitalcontent.api.tesco.com/v2/media/ghs/c2d6f9ca-7210-482d-a11c-e84d9b2f5316/48bd194a-d319-4407-b4b2-0ac2138005c4_1913338457.jpeg?h=225&w=225
Tesco Finest Sundried Tomato Pesto Rosso 190G,€2.39,€12.58/kg,https://digitalcontent.api.tesco.com/v2/media/ghs/ef4b94ac-80d6-4be9-80f0-9bc8a58fc9f3/ebcb7fb5-3824-4c74-85de-62b4622797b2_1263752296.jpeg?h=225&w=225
Tesco Finest Horseradish Sauce 170G,€2.50,€14.71/kg,https://digitalcontent.api.tesco.com/v2/media/ghs/32283c36-0f87-4f9e-aeb8-9d6e9054ce16/2f1b23a2-bdc6-483a-9b08-61e764e4a3a0_1961921615.jpeg?h=225&w=225
Tesco Finest Blackcurrent Conserve 320G,€2.29,€7.16/kg,https://digitalcontent.api.tesco.com/v2/media/ghs/65b6790c-f2d8-48e7-99f2-a16b93183d14/108dad80-de01-4e79-8dbc-f5a66ff961d3_1507723127.jpeg?h=225&w=225
Tesco Finest Chicken Stock 450Ml,€2.45,€5.44/litre,https://digitalcontent.api.tesco.com/v2/media/ghs/3334ed1c-bbd7-4d61-9576-a58b8b884e2a/f98f6d06-a264-4cc3-b6c3-21bbcec30809_829629668.jpeg?h=225&w=225
Tesco Finest Rigatoni 500G 500G,€1.75,€3.50/kg,https://digitalcontent.api.tesco.com/v2/media/ghs/49987931-0e85-4762-9b39-5f163abc0b33/3a2e752f-a7fa-4846-bb58-85a55f17e514_476088902.jpeg?h=225&w=225
Tesco Finest Free From White Chocolate Cranberry Cookies 150G,€2.95,€19.67/kg,https://digitalcontent.api.tesco.com/v2/media/ghs/b278fc3c-38c2-4147-a6af-475f9b82bd88/34433a1a-9e07-4876-9af2-a8d6521bacdf_1495809964.jpeg?h=225&w=225
Tesco Finest Honey & Irish Whiskey Ham Glaze 230g,€3.00,€13.04/kg,https://digitalcontent.api.tesco.com/v2/media/ghs/35687d14-3213-4567-9e94-56f2346ac4e7/bf1c3a9c-f585-4cd1-b37c-e988c23cf820_1160438626.jpeg?h=225&w=225
Tesco Finest Super Nutty Granola 500G,€4.50,€9.00/kg,https://digitalcontent.api.tesco.com/v2/media/ghs/b56acdfe-0f29-4e73-8c54-91b63fd19f52/115671e7-d8ad-42d4-8088-c9fc74fefbbd_1178305745.jpeg?h=225&w=225
Tesco Finest Apple & Cranberry Stuffing Mix 130G,€2.15,€16.54/kg,https://digitalcontent.api.tesco.com/v2/media/ghs/48a04bd9-136c-4a8c-b8cb-23407ccd882b/fd52dd6e-df4f-4569-b56e-dcdec487fa79_1318945303.jpeg?h=225&w=225
Tesco Finest Fusilli 500G 500G,€1.75,€3.50/kg,https://digitalcontent.api.tesco.com/v2/media/ghs/f3fd2300-ad07-4435-8533-ee7b4f1cba98/5aab5932-620d-4d84-804d-5dbfbb767854_1906271282.jpeg?h=225&w=225
Tesco Finest 12 Meringue Shells,€2.95,€0.25/each,https://digitalcontent.api.tesco.com/v2/media/ghs/a44925a1-e8dd-4888-b435-01284d15d0ee/6b58f615-6e1c-4a21-89a5-d7276dbda220_1899354345.jpeg?h=225&w=225
Tesco Finest Linguine 500G,€1.75,€3.50/kg,https://digitalcontent.api.tesco.com/v2/media/ghs/06559571-e560-42a6-a12d-a2f0f632bc3e/56277bba-1983-4f86-bc2b-79b4226e612f_804473561.jpeg?h=225&w=225
Tesco Finest Kalamata Olives 210G,€2.75,€22.00/kg DR.WT,https://digitalcontent.api.tesco.com/v2/media/ghs/b207edd8-bc02-4048-a804-7002a6cbba98/d7107cdc-9b11-45c9-acf7-f98468355952_1135171031.jpeg?h=225&w=225
Tesco Finest Honey & Spiced Apple Ham Glaze 230g,€3.00,€13.04/kg,https://digitalcontent.api.tesco.com/v2/media/ghs/f0ca8248-3fc9-44e8-997f-7aee72bf4c6b/47f621b6-46c0-48e4-9749-a8bad77dd327_544396826.jpeg?h=225&w=225
Tesco Finest Belgian Dark Chocolate Peppermint Bar 90G,€2.00,€22.22/kg,https://digitalcontent.api.tesco.com/v2/media/ghs/55e4ba2a-b019-4196-8fc4-60f2d47dc869/3dbc3db7-2c67-4590-9326-ec4a1faf5055_1423060715.jpeg?h=225&w=225
Tesco Finest Sicilian Extra Virgin Olive Oil 500Ml,€10.80,€21.60/litre,https://digitalcontent.api.tesco.com/v2/media/ghs/ba191f19-ffad-41c1-a61c-58c35843de31/479d6c94-eeea-4f5d-8c13-eff5b1099e74_109067837.jpeg?h=225&w=225
Tesco Finest Spaghetti Bucatini 500G,€1.75,€3.50/kg,https://digitalcontent.api.tesco.com/v2/media/ghs/187ad5f1-430b-4646-b4e2-a51bf73b9bda/d98cdce3-aaba-45c0-9d97-98b270b65571_826364051.jpeg?h=225&w=225
Tesco Finest Free From Dark Chocolate Ginger Cookies 150G,€2.95,€19.67/kg,https://digitalcontent.api.tesco.com/v2/media/ghs/626d1c0b-609f-420f-b311-c3a3832f0c56/256b765f-0cff-4796-aa2b-eaed25e7f4e0.jpeg?h=225&w=225
Tesco Finest Casarecce 500G,€1.75,€3.50/kg,https://digitalcontent.api.tesco.com/v2/media/ghs/f32e5c41-49a9-4ca1-be6e-ffe43ad82000/be6e895b-3ad8-432c-b15c-8013ca599330_2142305109.jpeg?h=225&w=225
Tesco Finest Medium Cut Bittersweet 3 Fruit Marmalade 320G,€2.29,€7.16/kg,https://digitalcontent.api.tesco.com/v2/media/ghs/9cae83e1-5b05-4962-8eae-0074191314a0/27e20733-5b20-4aac-84d9-2ab6127d3aca_1515826481.jpeg?h=225&w=225
Tesco Finest Belgian Smooth Milk Chocolate Bar 90G,€2.00,€22.22/kg,https://digitalcontent.api.tesco.com/v2/media/ghs/b68da4c3-3a7e-4bcb-9032-9562b9a9e214/1c9daa7f-f0b3-497f-b51a-8b83042c66a4_194892104.jpeg?h=225&w=225
Tesco Finest Pitted Halkidiki Olives 210G,€2.75,€28.95/kg DR.WT,https://digitalcontent.api.tesco.com/v2/media/ghs/2231f3a4-ad68-44e1-892a-476a1be42386/6fe5b0d1-eb1a-4765-a86c-5781f79f0754_1547473357.jpeg?h=225&w=225
Tesco Finest* Chicken Mozzarella Stuffing 560G,€5.50,€9.82/kg,https://digitalcontent.api.tesco.com/v2/media/ghs/1ef13d45-f7dd-42ec-8001-c9cb858c4f82/f2be2947-871d-4fea-bbdf-3c6cb543750c_1681212983.jpeg?h=225&w=225
Tesco Finest Rhubarb And Madagascan Vanilla Conserve 320G,€2.29,€7.16/kg,https://digitalcontent.api.tesco.com/v2/media/ghs/55746fe5-bb89-412d-9b27-7beb02f430c8/ac016cd7-b67e-4aa1-aeea-2524996dfee8_1831773739.jpeg?h=225&w=225
Tesco Finest Orecchiette 500G,€1.75,€3.50/kg,https://digitalcontent.api.tesco.com/v2/media/ghs/d5815c6f-4c65-4330-b2ef-51cfb7851584/fd40fcd1-28b2-494d-aac7-662fe49fb63f_573965407.jpeg?h=225&w=225
Tesco Finest Penne Rigate 500g,€1.75,€3.50/kg,https://digitalcontent.api.tesco.com/v2/media/ghs/59a87bc9-53a0-421c-b57e-69c30f274820/50ce4113-5412-4500-b6c6-fece26297112_1139437811.jpeg?h=225&w=225
Tesco Finest Sardines In Water 105G,€1.30,€18.31/kg DR.WT,https://digitalcontent.api.tesco.com/v2/media/ghs/a1a55416-cd39-48ef-9ee3-cbca6bf82cbe/fae1d590-e3d3-49bf-b458-1ae3952c77bd_816046361.jpeg?h=225&w=225
Tesco Finest British Bramley Apple Sauce With Cider 200G,€1.85,€9.25/kg,https://digitalcontent.api.tesco.com/v2/media/ghs/55295235-5b8f-47a5-8772-753a38783219/e26db42b-6d5a-418b-882f-20b394eda50f_557562425.jpeg?h=225&w=225
Tesco Finest Garlic Stuffed Olives 210G,€2.75,€0.03/kg DR.WT,https://digitalcontent.api.tesco.com/v2/media/ghs/53935075-67bd-4f77-91a9-51fd621ff688/736e0a45-5a99-4c13-aa26-1fe1056e3381_1825310519.jpeg?h=225&w=225
Tesco Finest Conchiglie 500G 500G,€1.75,€3.50/kg,https://digitalcontent.api.tesco.com/v2/media/ghs/64d2c7be-cf91-43ab-b533-3941de675156/cac6df5f-0741-4bb1-8c86-11d943b3b063_186974482.jpeg?h=225&w=225
Tesco Finest Belgian Chocolate Vanilla And Salted Caramel Bar 90G,€2.00,€22.22/kg,https://digitalcontent.api.tesco.com/v2/media/ghs/7a9cf06d-a827-4154-b032-97d468837e40/37cbc8cf-d7e6-4afe-ba91-3f9ee73453c4_1263232003.jpeg?h=225&w=225
Tesco Finest Beef Stock 450Ml,€2.60,€5.78/litre,https://digitalcontent.api.tesco.com/v2/media/ghs/aa508159-fd6a-43b6-b539-679d635f53d2/b474f968-a270-4303-b6f4-b9ec66175580_676170706.jpeg?h=225&w=225
Tesco Finest Gigli 500G 500G,€1.75,€3.50/kg,https://digitalcontent.api.tesco.com/v2/media/ghs/e0be7bc5-fd6e-4dc5-9949-13e2a4b02bba/e194fdd6-6886-405a-b1ba-57a17bd2dd1e_1826969418.jpeg?h=225&w=225
Tesco Finest Fruit Nut & Seed Muesli 500G,€4.00,€8.00/kg,https://digitalcontent.api.tesco.com/v2/media/ghs/e9237394-665f-4c5a-a7fc-99554a75a03f/4fe0e678-2f14-402b-9309-2892a33024a5_572623162.jpeg?h=225&w=225
Tesco Finest Free From Oat & Raisin Cookies 150G,€2.95,€19.67/kg,https://digitalcontent.api.tesco.com/v2/media/ghs/a2ff1bfd-2f35-4937-999a-2fcfb4290cdd/847bacb8-9575-4151-84fc-837a267e8cec_1585418052.jpeg?h=225&w=225
Tesco Finest Belgian Milk Chocolate Orange Bar 90G,€2.00,€22.22/kg,https://digitalcontent.api.tesco.com/v2/media/ghs/5f7146f3-ed54-4042-b949-060492f5ed3c/28024ceb-7048-4770-aa03-9020a4024486_1858335087.jpeg?h=225&w=225
Tesco Finest Alphonso Mango & Passion Fruit Coulis 275G,€3.25,€11.82/kg,https://digitalcontent.api.tesco.com/v2/media/ghs/44f6190d-b412-4896-be0b-01c35063fb00/36982b37-b5d9-4d45-b6ba-83a7b4bedd52_751282896.jpeg?h=225&w=225
