Product Title,Price,Price Per Weight,Savings,Image URL
SuperValu Royal Gala Apples  (6 Piece),€1.99,€0.33 each,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1004140000_1
SuperValu Strawberry Punnet (227 g),€2.79,€12.29/kg,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1019078000_1
SuperValu Loose Golden Delicious Apples (1 Piece),€0.60,,4 for €2,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1025977000_1
SuperValu Granny Smith Apples (6 Piece),€1.89,€0.32 each,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1026369002_1
Keelings Strawberries Family Pack (400 g),€5.00,€12.50/kg,3 for €10,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1386984000_1
SuperValu Avocados (3 Piece),€1.69,€0.56 each,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1420883000_1
Signature Tastes Ripe Hass Avocados (2 Piece),€2.49,€1.25 each,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1331324001_1
Signature Tastes Blueberries (290 g),€5.00,€17.24/kg,3 for €10,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1683185001_1
SuperValu Plums (500 g),€1.49,€2.98/kg,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1016080000_1
Keelings Raspberries Family Pack (200 g),€4.50,€22.50/kg,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1519799000_1
SuperValu Irish Bramley Cooking Apples (4 Piece),€1.00,€0.25 each,Only €1,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1028455001_1
SuperValu Kids Pink Lady Apples (5 Piece),€2.00,€0.40 each,Only €2,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1485673002_1
Signature Tastes Black Grapes (400 g),€2.99,€7.48/kg,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1628438001_1
SuperValu Loose Mango (1 Piece),€0.89,,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1019647000_1
SuperValu Cantaloupe Melon (1 Piece),€0.99,,Only 99c,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1016550000_1
SuperValu Organic Unwaxed Lemons (4 Piece),€2.49,€0.62 each,2 for €3,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1024862000_1
